location,date,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,population
United States,2022-05-01,60567890,1067890,878901,10678,468500000,288500000,0,331002651
United States,2022-06-01,63234567,1123456,912345,11234,498500000,308500000,0,331002651
United States,2022-07-01,65890123,1178901,945678,11789,528500000,328500000,0,331002651
United States,2022-08-01,68567890,1234567,978901,12345,558500000,348500000,0,331002651
United States,2022-09-01,71234567,1289012,1012345,12890,588500000,368500000,0,331002651
United States,2022-10-01,73890123,1345678,1045678,13456,618500000,388500000,0,331002651
United States,2022-11-01,76567890,1401234,1078901,14012,648500000,408500000,0,331002651
United States,2022-12-01,79234567,1456789,1112345,14567,678500000,428500000,0,331002651
United States,2023-01-01,81890123,1512345,1145678,15123,708500000,448500000,0,331002651
Brazil,2021-01-01,8765432,12345,215678,1234,850000,0,0,212559417
Brazil,2021-02-01,9123456,14567,228901,1456,1850000,125000,0,212559417
Brazil,2021-03-01,9589012,16789,242345,1678,3850000,425000,0,212559417
Brazil,2021-04-01,10234567,18901,255678,1890,6850000,1225000,0,212559417
Brazil,2021-05-01,11890123,21234,268901,2123,10850000,2850000,0,212559417
Brazil,2021-06-01,13567890,24567,282345,2456,15850000,4850000,0,212559417
Brazil,2021-07-01,15234567,27890,295678,2789,20850000,6850000,0,212559417
Brazil,2021-08-01,16890123,31234,308901,3123,25850000,8850000,0,212559417
Brazil,2021-09-01,18567890,34567,322345,3456,30850000,10850000,0,212559417
Brazil,2021-10-01,20234567,37890,335678,3789,35850000,12850000,0,212559417
Brazil,2021-11-01,21890123,41234,348901,4123,40850000,14850000,0,212559417
Brazil,2021-12-01,23567890,44567,362345,4456,45850000,16850000,0,212559417
Brazil,2022-01-01,25234567,47890,375678,4789,50850000,18850000,0,212559417
Brazil,2022-02-01,26890123,51234,388901,5123,55850000,20850000,0,212559417
Brazil,2022-03-01,28567890,54567,402345,5456,60850000,22850000,0,212559417
Brazil,2022-04-01,30234567,57890,415678,5789,65850000,24850000,0,212559417
Brazil,2022-05-01,31890123,61234,428901,6123,70850000,26850000,0,212559417
Brazil,2022-06-01,33567890,64567,442345,6456,75850000,28850000,0,212559417
Brazil,2022-07-01,35234567,67890,455678,6789,80850000,30850000,0,212559417
Brazil,2022-08-01,36890123,71234,468901,7123,85850000,32850000,0,212559417
Brazil,2022-09-01,38567890,74567,482345,7456,90850000,34850000,0,212559417
Brazil,2022-10-01,40234567,77890,495678,7789,95850000,36850000,0,212559417
Brazil,2022-11-01,41890123,81234,508901,8123,100850000,38850000,0,212559417
Brazil,2022-12-01,43567890,84567,522345,8456,105850000,40850000,0,212559417
Brazil,2023-01-01,45234567,87890,535678,8789,110850000,42850000,0,212559417
United Kingdom,2021-01-01,3456789,5678,98765,567,1250000,0,0,67800000
United Kingdom,2021-02-01,3789012,6234,102345,623,2850000,185000,0,67800000
United Kingdom,2021-03-01,4123456,6789,106789,678,4850000,485000,0,67800000
United Kingdom,2021-04-01,4456789,7345,111234,734,6850000,1085000,0,67800000
United Kingdom,2021-05-01,4789012,7890,115678,789,8850000,1850000,0,67800000
United Kingdom,2021-06-01,5123456,8456,120123,845,10850000,2850000,0,67800000
United Kingdom,2021-07-01,5456789,9012,124567,901,12850000,3850000,0,67800000
United Kingdom,2021-08-01,5789012,9567,128901,956,14850000,4850000,0,67800000
United Kingdom,2021-09-01,6123456,10123,133456,1012,16850000,5850000,0,67800000
United Kingdom,2021-10-01,6456789,10678,137890,1067,18850000,6850000,0,67800000
United Kingdom,2021-11-01,6789012,11234,142345,1123,20850000,7850000,0,67800000
United Kingdom,2021-12-01,7123456,11789,146789,1178,22850000,8850000,0,67800000
United Kingdom,2022-01-01,7456789,12345,151234,1234,24850000,9850000,0,67800000
United Kingdom,2022-02-01,7789012,12890,155678,1289,26850000,10850000,0,67800000
United Kingdom,2022-03-01,8123456,13456,160123,1345,28850000,11850000,0,67800000
United Kingdom,2022-04-01,8456789,14012,164567,1401,30850000,12850000,0,67800000
United Kingdom,2022-05-01,8789012,14567,168901,1456,32850000,13850000,0,67800000
United Kingdom,2022-06-01,9123456,15123,173456,1512,34850000,14850000,0,67800000
United Kingdom,2022-07-01,9456789,15678,177890,1567,36850000,15850000,0,67800000
United Kingdom,2022-08-01,9789012,16234,182345,1623,38850000,16850000,0,67800000
United Kingdom,2022-09-01,10123456,16789,186789,1678,40850000,17850000,0,67800000
United Kingdom,2022-10-01,10456789,17345,191234,1734,42850000,18850000,0,67800000
United Kingdom,2022-11-01,10789012,17890,195678,1789,44850000,19850000,0,67800000
United Kingdom,2022-12-01,11123456,18456,200123,1845,46850000,20850000,0,67800000
United Kingdom,2023-01-01,11456789,19012,204567,1901,48850000,21850000,0,67800000
Germany,2021-01-01,2345678,3456,56789,345,850000,0,0,83200000
Germany,2021-02-01,2589012,3890,58901,389,1850000,125000,0,83200000
Germany,2021-03-01,2834567,4345,61234,434,2850000,425000,0,83200000
Germany,2021-04-01,3078901,4789,63567,478,4850000,1225000,0,83200000
Germany,2021-05-01,3323456,5234,65890,523,6850000,2850000,0,83200000
Germany,2021-06-01,3567890,5678,68234,567,8850000,4850000,0,83200000
Germany,2021-07-01,3812345,6123,70567,612,10850000,6850000,0,83200000
Germany,2021-08-01,4056789,6567,72890,656,12850000,8850000,0,83200000
Germany,2021-09-01,4301234,7012,75234,701,14850000,10850000,0,83200000
Germany,2021-10-01,4545678,7456,77567,745,16850000,12850000,0,83200000
Germany,2021-11-01,4789012,7890,79890,789,18850000,14850000,0,83200000
Germany,2021-12-01,5034567,8345,82234,834,20850000,16850000,0,83200000
Germany,2022-01-01,5278901,8789,84567,878,22850000,18850000,0,83200000
Germany,2022-02-01,5523456,9234,86890,923,24850000,20850000,0,83200000
Germany,2022-03-01,5767890,9678,89234,967,26850000,22850000,0,83200000
Germany,2022-04-01,6012345,10123,91567,1012,28850000,24850000,0,83200000
Germany,2022-05-01,6256789,10567,93890,1056,30850000,26850000,0,83200000
Germany,2022-06-01,6501234,11012,96234,1101,32850000,28850000,0,83200000
Germany,2022-07-01,6745678,11456,98567,1145,34850000,30850000,0,83200000
Germany,2022-08-01,6989012,11890,100890,1189,36850000,32850000,0,83200000
Germany,2022-09-01,7234567,12345,103234,1234,38850000,34850000,0,83200000
Germany,2022-10-01,7478901,12789,105567,1278,40850000,36850000,0,83200000
Germany,2022-11-01,7723456,13234,107890,1323,42850000,38850000,0,83200000
Germany,2022-12-01,7967890,13678,110234,1367,44850000,40850000,0,83200000
Germany,2023-01-01,8212345,14123,112567,1412,46850000,42850000,0,83200000
